Category,Product Name,Brand,Variant/Size,Flavour,Price (Rs),MRP (Rs),Discount %,Description,Key Benefits,Rating,No. of Reviews,Diet Type,Image URL 1,Image URL 2,Image URL 3,Product URL
Multivitamins,Decode Age DAKE® 5000 IU,Decode Age,20 g,,1199,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-DCA-1023-PA-1773910521-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/decode-age-dake-5000-iu-multivitamin-plant-based-d3-k2-mk-7-a-e
Multivitamins,Pole Nutrition Multivitamin Tablets,Pole Nutrition,20 g,,799,309,42%,,,4.6,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-892-featured_image-Pole_Nutrition_Multivitamin_Tablets.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/pole-nutrition-multivitamin-tablets
Multivitamins,GNC Mega Men Sport,GNC,20 g,,739,309,42%,,,4.9,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2018/07/NB-GNC-1041-PA-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/gnc-mega-men-sport-180-tablets
Multivitamins,Rasayanam Multivitamin for Men,,20 g,,599,309,42%,,,4.2,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-RAS-1005-PA-1761540614-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/rasayanam-multivitamin-for-men
Multivitamins,Naturaltein Iron Bisglycinate + Vitamin C For Female,Naturaltein,20 g,,339,329,24%,,,4.8,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NTR-1016-PA-1778062816-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/naturaltein-iron-bisglycinate-vitamin-c-for-female
Multivitamins,Decode Age NMN 500 Supplement,Decode Age,20 g,,1499,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-DCA-1005-PA-1773904817-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/decode-age-uthever-nmn-500-nad-booster
Multivitamins,Rasayanam Multivitamin for Women,,20 g,,649,329,24%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-RAS-1012-PA-1765184415-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/rasayanam-multivitamin-for-women
Multivitamins,BPI Sports Multivitamin with Vital Nutrients,BPI Sports,20 g,,749,309,42%,,,5.0,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2021/08/NB-BPI-1021-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/bpi-sports-multivitamin-with-vital-nutrients
Multivitamins,Vlado's Himalayan Organics Liposomal Multivitamin Adult 50+ with 75+ Ingredients,,20 g,,498,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1012-PA-1778062513-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-whole-food-multivitamin-for-men-with-natural-vitamins-minerals-extracts
Multivitamins,HealthAid Kidz Omega,,200 ml,,1133,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-2968-featured_image-HealthAid_Kidz_Omega.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/healthaid-kidzomega
Multivitamins,"Wellman Multivitamin Tablets For Men, Gluten Free",,20 g,,329,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-3518-featured_image-Wellman_Multivitamin_Tablets_For_Men_Gluten_Free.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/wellman-multivitamin-tablets-for-men-gluten-free
Multivitamins,Dr. Morepen Multivitamin Women,,20 g,,456,329,24%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-DRP-1039-PA-1762164920-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/dr-morepen-multivitamin-women
Multivitamins,Wellman 50+ Multivitamin Tablets For Men Over Age 50 Years,,20 g,,309,309,42%,,,4.7,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2023/11/NB-WLM-1000-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/wellman-50-multivitamin-tablets-for-men-over-age-50-years
Multivitamins,"Neuherbs Multivitamin - True Vitamin | Boost Energy, Stamina & Overall Health",Neuherbs,20 g,,399,309,42%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NEH-1001-PA-1770897017-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/neuherbs-true-vitamin-with-iodine
Multivitamins,GNC Women's One Daily Multivitamin,GNC,20 g,,849,329,24%,,,4.8,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2020/06/NB-GNC-1012-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/gnc-womens-ultra-mega-one-daily-caplets
Multivitamins,Dr. Morepen Multivitamin Tablet - Men,,20 g,,454,309,42%,,,4.3,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-DRP-1027-PA-1762164916-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/dr-morepen-multivitamin-tablet-men
Multivitamins,Wellwoman 50+ Multivitamins For Women Over Age 50 Years,,20 g,,485,329,24%,,,4.8,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2023/11/NB-WWM-1000-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/wellwoman-50-multivitamins-for-women-over-age-50-years
Multivitamins,Miduty Multivitamin One Per Day,,20 g,,746,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-MDY-1008-PA-1767102318-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/miduty-multivitamin-one-per-day
Multivitamins,Wellwoman 70+ Multivitamins For Women Over Age 70 Years,,20 g,,385,329,24%,,,4.8,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2023/11/NB-WWM-1001-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/wellwoman-70-multivitamins-for-women-over-age-70-years
Multivitamins,Vlado’s Himalayan Organics Multivitamin with Probiotics 45 Ingredients,,20 g,,344,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-220-featured_image-Vlado’s_Himalayan_Organics_Multivitamin_with_Probiotics_45_Ingredients.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-multivitamin-with-probiotics-45-ingredients-for-men-women-with-vitamin-c-d-e-b3-b12-zinc-giloy-biotin
Multivitamins,Vlado's Himalayan Organics Multivitamin with Probiotics | 100+ Ingredients,,20 g,,678,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1001-PA-1778065812-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-multivitamin-with-40-ingredients-probiotics
Multivitamins,Vlado’s Himalayan Organics Plant Based Copper 1700mcg with Green Tea Extract,,20 g,,797,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-4069-featured_image-Vlado’s_Himalayan_Organics_Plant_Based_Copper_1700mcg_with_Green_Tea_Extract.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-plant-based-copper-1700mcg-with-green-tea-extract
Multivitamins,International Protein Daily MultiVitamin,,20 g,,1020,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-3816-featured_image-International_Protein_Daily_MultiVitamin.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/international-protein-daily-multivitamin
Multivitamins,HealthyHey Nutrition MultiVitamin for Women,,20 g,,786,329,24%,,,4.8,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2023/09/NB-HHH-1071-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/healthyhey-multivitamin-for-women
Multivitamins,Allmax Multivitamin Vitaform for Women,AllMax,20 g,,699,329,24%,,,4.8,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-ALL-1010-PA-1773128122-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/allmax-multivitamin-vitaform-for-women
Multivitamins,"Vlado's Himalayan Organics - Organic Multivitamins With Vitamin C, Niacin, Iron, Zinc",,200 g,,879,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/page_manager/1-1757918878.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-organic-multivitamins-with-vitamin-c-niacin-iron-zinc
Multivitamins,Steadfast Nutrition Mega Pack Multivitamin,,20 g,,1081,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-SDF-1022-PA-1756981513-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/steadfast-nutrition-mega-pack-multivitamin
Multivitamins,Steadfast Nutrition Multivitamin Wellness Multimineral,,20 g,,489,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-4386-featured_image-Steadfast_Nutrition_Multivitamin_Wellness_Multimineral.jpeg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/steadfast-nutrition-multivitamin-wellness-multimineral
Multivitamins,Neuherbs True Multivitamin Women With Vitamins & Minerals For Daily Wellness,Neuherbs,20 g,,349,329,24%,,,4.8,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-4042-featured_image-Neuherbs_True_Vitamin_Women_with_Energy_Blend.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/neuherbs-true-vitamin-women-with-energy-blend
Multivitamins,Vlado’s Himalayan Organics Plant Based Multivitamin 45+ Women,,20 g,,646,329,24%,,,4.8,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-3966-featured_image-Vlado’s_Himalayan_Organics_Plant_Based_Multivitamin_Women_45.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-plant-based-multivitamin-women-45
Multivitamins,"Kaged Muscle Whole Foods Multivitamin with Vitamin C, Vitamin D, Vitamin E, Vitamin B12",,20 g,,3968,309,42%,,,5.0,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2023/12/NB-KAG-1012-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/kaged-muscle-whole-foods-multivitamin-with-vitamin-c-vitamin-d-vitamin-e-vitamin-b12
Multivitamins,Vlado’s Himalayan Organics Plant Based Eye Care Supplement -Lutemax 2020,,20 g,,829,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-1127-featured_image-Vlado’s_Himalayan_Organics_Plant_Based_Eye_Care_Supplement_Lutemax_2020.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-plant-based-eye-care-supplement-improve-vision-blue-light-digital-guard-lutemax-2020-orange-extract-carrot-extract
Magnesium,Naturaltein ZMA Zinc Magnesium Vitamin B6,Naturaltein,200 g,,349,539,35%,,,4.1,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NTR-1008-PA-1773381017-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/naturaltein-zinc-magnesium-with-tea-extract
Magnesium,Naturaltein Ultra Pure Magnesium Bisglycinate 1200mg,Naturaltein,20 g,,429,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NTR-1031-PA-1775122225-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/naturaltein-magnesium-glycinate-1100mg
Magnesium,HealthAid Magnesium Glycinate with Zinc,,20 g,,664,549,36%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-3742-featured_image-HealthAid_Magnesium_Glycinate_with_Zinc.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/healthaid-magnesium-glycinate-with-zinc
Magnesium,HealthAid Magnesium Orotate 500mg,,20 g,,1199,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HEA-1081-PA1-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/healthaid-magnesium-orotate-500mg
Magnesium,"HealthyHey Nutrition High Absorption Magnesium Glycinate, 550mg",,20 g,,349,549,36%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-395-featured_image-HealthyHey_Nutrition_High_Absorption_Magnesium_Glycinate_550mg.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/healthyhey-nutrition-high-absorption-magnesium-glycinate-550mg
Magnesium,"Neuherbs True Magnesium Glycinate 1600mg With Antioxidants, Zinc & Vitamin C",Neuherbs,20 g,,399,549,27%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NEH-1026-PA-1770897016-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/neuherbs-true-magnesium-better-absorption
Magnesium,Decode Age Mag7™ Seven Magnesium Complex,Decode Age,20 g,,1199,549,36%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-DCA-1018-PA-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/decode-age-mag7tm-seven-magnesium-complex
Magnesium,GreenOpia Magnesium Glycinate 2000mg,,20 g,,649,549,36%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-GOP-1002-PA-1760599220-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/greenopia-magnesium-glycinate-2000mg
Magnesium,HealthyHey Nutrition Magnesium Citrate - 1000 mg,,20 g,,786,549,36%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-394-featured_image-HealthyHey_Nutrition_Magnesium_Citrate___1000_mg.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/healthyhey-nutrition-magnesium-citrate-1000-mg
Magnesium,Miduty Magnesium Relax,,20 g,,839,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-MDY-1006-PA-1767101719-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/miduty-magnesium-relax
Magnesium,Ace Blend Max Magnesium 440mg,Ace Blend,20 g,,741,549,36%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-ACB-1005-PA-1763018118-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/ace-blend-max-magnesium-440mg
Magnesium,Vlado's Himalayan Organics Chelated Magnesium Citrate 1000mg,,20 g,,994,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1200-PA-1777296919-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-chelated-magnesium-citrate-1000mg
Single Vitamins,Naturaltein Vitamin B12 + Folic Acid,Naturaltein,20 g,,529,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NTR-1021-PA-1770878722-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/naturaltein-vitamin-b12-folic-acid
Single Vitamins,Rasayanam Vitamin D3 + K2 (MK-7),,20 g,,519,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-RAS-1009-PA-1755753614-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/rasayanam-vitamin-d3-k2-mk-7
Single Vitamins,Vlado's Himalayan Organics Vitamin D3 with K2 as MK7 Supplement,,20 g,,499,309,42%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-1176-featured_image-Vlado’s_Himalayan_Organics_Vitamin_D3_with_K2_as_MK7_Supplement.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-vitamin-d3-with-k2-as-mk7-supplement
Single Vitamins,Naturaltein Vitamin D3+K2,Naturaltein,20 g,,369,309,42%,,,4.5,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-NTR-1007-PA-1778074227-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/naturaltein-vitamin-d3k2
Single Vitamins,Rasayanam Plant Based Vitamin B12,,20 g,,499,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-RAS-1000-PA-1758870616-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/rasayanam-plant-based-vitamin-b12
Single Vitamins,Vlado’s Himalayan Organics Methyl cobalamin Vitamin B12 1500mcg Supplement support Brain,,20 g,,397,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1108-PA-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-methyl-cobalamin-vitamin-b12-1500mcg-supplement-support-brain
Single Vitamins,Vlado's Himalayan Organics Vitamin D3 Oral Solution 60000 I.U.,,20 g,,379,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/products/1-1754292499.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-vitamin-d3-oral-solution-60000-iu
Single Vitamins,Vlado's Himalayan Organics Methylcobalamin Vitamin B12 500 mcg,,20 g,,248,309,20%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1167-PA-399x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-methylcobalamin-500-mcg-vitamin-b12
Single Vitamins,Miduty Methyl B12 & Folate,,20 g,,746,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-MDY-1013-PA-1767102321-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/miduty-methyl-b12-folate
Single Vitamins,Vlado's Himalayan Organics Vitamin B12 Methylcobalamin 1500 mcg,,20 g,,284,309,8%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1168-PA-399x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-vitamin-b12-methylcobalamin-1500-mcg
Single Vitamins,Vlado’s Himalayan Organics Natural Vitamin B12,,20 g,,348,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-1174-featured_image-Vlado’s_Himalayan_Organics_Plant_Based_Vitamin_B12_Natural.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-plant-based-vitamin-b12-natural
Single Vitamins,Miduty Liposomal Vitamin C,,20 g,,599,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-MDY-1003-PA-1767101717-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/miduty-liposomal-vitamin-c
Single Vitamins,GreenOpia Vitamin D3 600 IU with K2,,20 g,,499,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-GOP-1012-PA-1760599519-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/greenopia-vitamin-d3-600-iu-with-k2
Single Vitamins,Vlado's Himalayan Organics Vitamin D3 10000IU Cholecalciferol,,20 g,,395,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1192-PA-1765285511-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-vitamin-d3-10000iu-cholecalciferol
Single Vitamins,Vlado's Himalayan Organics Cholecalciferol 60000 IU Vitamin D3,,20 g,,379,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1193-PA-1765285513-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-cholecalciferol-60000-iu-vitamin-d3
Single Vitamins,Vlado’s Himalayan Organics Plant Based Vitamin C with Zinc,,20 g,,759,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-1161-featured_image-Vlado’s_Himalayan_Organics_Plant_Based_Vitamin_C_with_Zinc.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-plant-based-vitamin-c-with-zinc
Single Vitamins,Fast&Up Charge with Natural Vitamin C and Zinc for Immunity,Fast&Up,20 g,,338,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-1744-featured_image-FastUp_Charge_with_Natural_Vitamin_C_and_Zinc_for_Immunity.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/fastup-charge-with-natural-vitamin-c-and-zinc-for-immunity-tube-of-20
Single Vitamins,Vlado’s Himalayan Organics B- Complex Supplement - Support Cognitive Health,,20 g,,495,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-1123-featured_image-Vlado’s_Himalayan_Organics_B_Complex_Supplement__Support_Cognitive_Health.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-b-complex-supplement-support-cognitive-health
Single Vitamins,Vlado's Himalayan Organics Liposomal Vitamin C 1000mg+,,20 g,,599,309,42%,,,5.0,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1002-PA-1771410616-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/himalayan-organics-vitamin-c-1000mg-tablets-from-natural-fruits-immunity-antioxidant-skin-care
Single Vitamins,Miduty Vitamin ADK Vitamin D3+K2+K1+A,,20 g,,839,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-MDY-1012-PA-1767102320-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/miduty-vitamin-adk-vitamin-d3k2k1a
Single Vitamins,Miduty ADK Vitamin D3+K2+A,,20 g,,1439,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-MDY-1011-PA-1767102320-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/miduty-adk-vitamin-d3k2a
Single Vitamins,Steadfast Nutrition Aloe Vera Wellness AloeVera Extract With Vitamin E,,20 g,,374,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-4382-featured_image-Steadfast_Nutrition_Aloe_Vera_Wellness_AloeVera_Extract_With_Vitamin_E.jpeg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/steadfast-nutrition-aloe-vera-wellness-aloevera-extract-with-vitamin-e
Single Vitamins,HealthyHey Nutrition Vitamin B1 Thiamine Mononitrate 1700mcg,,20 g,,609,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/featured_image/product-4201-featured_image-HealthyHey_Nutrition_Vitamin_B1_Thiamine_Mononitrate_1700mcg.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/healthyhey-nutrition-vitamin-b1-thiamine-mononitrate-1700mcg
Single Vitamins,HealthAid Tang Forte (Royal Jelly 1000mg),,20 g,,1299,309,42%,,,4.7,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2017/03/5019781010455-1-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/healthaid-tang-forte-royal-jelly-1000mg
Single Vitamins,Vlado's Himalayan Organics Vitamin B12 1500mcg Methylcobalamin,,20 g,,194,309,37%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1207-PA-1777356915-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-vitamin-b12-1500mcg-methylcobalamin
Single Vitamins,Vlado's Himalayan Organics Chewable Vitamin D3 5000IU,,20 g,,994,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1204-PA-1777353317-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-chewable-vitamin-d3-5000iu
Single Vitamins,Vlado's Himalayan Organics Chewable Vitamin D3 2000IU,,20 g,,974,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1203-PA-1777297823-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-chewable-vitamin-d3-2000iu
Single Vitamins,Vlado's Himalayan Organics Methylcobalamin 1500mcg Vitamin B12,,20 g,,996,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1202-PA-1777297822-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-methylcobalamin-1500mcg-vitamin-b12
Single Vitamins,Vlado's Himalayan Organics Methylcobalamin+ Vitamin D3+ Folic Acid+ ALA+,,20 g,,994,309,42%,,,4.7,0,Vegetarian,https://cdn2.nutrabay.com/uploads/product/images/featured_image-NB-HLO-1201-PA-1777296920-400x400.webp,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/vlados-himalayan-organics-methylcobalamin-vitamin-d3-folic-acid-ala
Shilajit,Kapiva Shilajit Gold Resin,,20 g,,1199,1199,58%,,,4.5,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2023/11/NB-KPV-1005-01-02-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/kapiva-shilajit-gold-resin
Shilajit,Kapiva Shilajit Gold,,20 g,,599,1199,50%,,,4.2,0,Vegetarian,https://cdn.nutrabay.com/wp-content/uploads/2023/11/NB-KPV-1003-01-01-340x340.jpg,https://cdn2.nutrabay.com/images/Logo.png,,https://nutrabay.com/product/kapiva-shilajit-gold
